14:31:59:851|10524 |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
14:32:03:822|9080  |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
14:51:37:682|2224  |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
07:13:59:305|FAILURE   |                              |<module>                      |excel_git_utils.py  |requires access_type and file as args|150418  
07:14:42:736|FAILURE   |                              |<module>                      |excel_git_utils.py  |requires access_type and file as args|150418  
07:15:03:925|FAILURE   |                              |<module>                      |excel_git_utils.py  |requires access_type and file as args|150418  
07:15:15:712|FAILURE   |                              |<module>                      |excel_git_utils.py  |an error occurred [BdbQuit] []|150418  
06:57:59:586|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db] []|300418  
06:59:45:498|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] []|300418  
07:57:51:170|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] []|300418  
07:57:58:671|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [13 values for 3 columns]|300418  
08:00:09:626|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [13 values for 3 columns]|300418  
08:04:09:91 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:06:27:65 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:07:31:406|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:08:22:423|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [database is locked]|300418  
08:10:13:528|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:13:41:68 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:13:51:648|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
08:15:31:17 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:05:30:310|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
09:05:30:912|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:11:44:246|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:11:44:273|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:12:57:718|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:12:57:797|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:21:35:973|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:21:36:12 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
