16:35:49:209|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [./foobar.sqlite]
16:35:49:227|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:254|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:272|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [C:\Users\burtnolej]
16:35:49:326|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [./foobar.sqlite]
16:35:49:340|SUCCESS   |               |tbl_rows_insert|database_*le_util.py|inserted [3] into table [foobar] in db [.//foobar.sqlite]
16:35:49:373|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [./foobar.sqlite]
16:35:49:380|FAILURE   |               |tbl_rows_insert|database_*le_util.py|unable to insert [1] rows into table [foobar] in db [.//foobar.sqlite] [no such column: a]
16:35:49:409|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [./foobar.sqlite]
16:35:49:427|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:437|SUCCESS   |               |tbl_rows_insert|database_*le_util.py|inserted [3] into table [foobar] in db [.//foobar.sqlite]
16:35:49:462|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [./foobar.sqlite]
16:35:49:479|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:494|SUCCESS   |               |tbl_rows_insert|database_*le_util.py|inserted [3] into table [foobar] in db [.//foobar.sqlite]
16:35:49:513|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:538|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:606|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:642|SUCCESS   |               |tbl_rows_insert|database_*le_util.py|inserted [1000] into table [foobar] in db [.//foobar.sqlite]
16:35:49:679|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:700|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [C:\Usersurtnolej]
16:35:49:730|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:755|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:769|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:775|INFO      |               |table_*by_file |excel_dat*se_util.py|table [foobar] exists = [True] in db [foobar]
16:35:49:788|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:808|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:825|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:833|INFO      |               |table_*by_file |excel_dat*se_util.py|table [foofoo] exists = [False] in db [foobar]
16:35:49:844|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:862|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:878|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:888|INFO      |               |databa*by_file |excel_dat*se_util.py|db [foofoo] exists = [False]
16:35:49:908|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:929|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:941|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:947|INFO      |               |get_ta*by_file |excel_dat*se_util.py|got table [foobar] info  [[(u'FirstName', u'text'), (u'LastName', u'text'), (u'Country', u'text'), (u'Description', u'text'), (u'Age', u'integer')]]
16:35:49:959|INFO      |               |_parse*ut_file |excel_dat*se_util.py|setting runtime_path to [.]
16:35:49:978|SUCCESS   |               |tbl_create     |database_util.py    |created table [foobar] in db [.//foobar.sqlite]
16:35:49:998|FAILURE   |               |_parse*ut_file |excel_dat*se_util.py|TypeError uuencode issues? [Incorrect padding]
16:35:50:6  |INFO      |               |get_ta*by_file |excel_dat*se_util.py|got table list for db [foobar]  [[u'foobar']]
